token          lexeme

SEPARATOR      $$     
KEYWORD        function
IDENTIFIER     doSomething
SEPARATOR      [      
IDENTIFIER     number 
UNKNOWN        :      
KEYWORD        true   
SEPARATOR      ]      
SEPARATOR      {      
KEYWORD        return 
REAL           109.92 
OPERATOR       *      
SEPARATOR      (      
INTEGER        1      
OPERATOR       +      
INTEGER        1      
SEPARATOR      )      
SEPARATOR      ;      
SEPARATOR      }      
SEPARATOR      $$     
KEYWORD        real   
IDENTIFIER     num1   
SEPARATOR      ,      
IDENTIFIER     num2   
SEPARATOR      ;      
KEYWORD        read   
SEPARATOR      (      
IDENTIFIER     num1   
SEPARATOR      ,      
IDENTIFIER     num2   
SEPARATOR      )      
SEPARATOR      ;      
KEYWORD        if     
SEPARATOR      (      
KEYWORD        false  
SEPARATOR      )      
SEPARATOR      {      
KEYWORD        print  
SEPARATOR      (      
IDENTIFIER     num1   
SEPARATOR      )      
SEPARATOR      ;      
SEPARATOR      }      
KEYWORD        endif  
SEPARATOR      $$     
