token          lexeme

SEPARATOR      $$     
KEYWORD        function
IDENTIFIER     convert
SEPARATOR      [      
IDENTIFIER     fahr   
UNKNOWN        :      
KEYWORD        integer
SEPARATOR      ]      
SEPARATOR      {      
KEYWORD        return 
INTEGER        5      
OPERATOR       *      
SEPARATOR      (      
IDENTIFIER     fahr   
OPERATOR       -      
INTEGER        32     
SEPARATOR      )      
OPERATOR       /      
INTEGER        9      
SEPARATOR      ;      
SEPARATOR      }      
SEPARATOR      $$     
KEYWORD        integer
IDENTIFIER     low    
SEPARATOR      ,      
IDENTIFIER     high   
SEPARATOR      ,      
IDENTIFIER     step   
SEPARATOR      ;      
KEYWORD        read   
SEPARATOR      (      
IDENTIFIER     low    
SEPARATOR      ,      
IDENTIFIER     high   
SEPARATOR      ,      
IDENTIFIER     step   
SEPARATOR      )      
SEPARATOR      ;      
KEYWORD        while  
SEPARATOR      (      
IDENTIFIER     low    
OPERATOR       <      
IDENTIFIER     high   
SEPARATOR      )      
SEPARATOR      {      
KEYWORD        print  
SEPARATOR      (      
IDENTIFIER     low    
SEPARATOR      )      
SEPARATOR      ;      
KEYWORD        print  
SEPARATOR      (      
IDENTIFIER     convert
SEPARATOR      [      
IDENTIFIER     low    
SEPARATOR      ]      
SEPARATOR      )      
SEPARATOR      ;      
IDENTIFIER     low    
OPERATOR       :=     
IDENTIFIER     low    
OPERATOR       +      
IDENTIFIER     step   
SEPARATOR      ;      
SEPARATOR      }      
KEYWORD        if     
SEPARATOR      (      
IDENTIFIER     low    
OPERATOR       =      
OPERATOR       =      
IDENTIFIER     high   
SEPARATOR      )      
SEPARATOR      {      
KEYWORD        integer
IDENTIFIER     number 
SEPARATOR      ;      
IDENTIFIER     number 
OPERATOR       :=     
INTEGER        4      
OPERATOR       +      
INTEGER        3      
KEYWORD        print  
SEPARATOR      (      
IDENTIFIER     number 
SEPARATOR      )      
SEPARATOR      ;      
KEYWORD        return 
IDENTIFIER     number 
SEPARATOR      ;      
SEPARATOR      }      
KEYWORD        print  
SEPARATOR      (      
IDENTIFIER     convert
SEPARATOR      [      
IDENTIFIER     high   
SEPARATOR      ]      
SEPARATOR      )      
SEPARATOR      ;      
KEYWORD        print  
SEPARATOR      (      
IDENTIFIER     convert
SEPARATOR      [      
IDENTIFIER     step   
SEPARATOR      ]      
SEPARATOR      )      
SEPARATOR      ;      
KEYWORD        while  
SEPARATOR      (      
IDENTIFIER     fahr   
OPERATOR       <      
IDENTIFIER     upper  
SEPARATOR      )      
IDENTIFIER     a      
OPERATOR       :=     
REAL           23.00  
UNKNOWN        2zA    
SEPARATOR      $$     
